tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,I_k
"['covid', 'vaccine', 'covid-19', 'covid 19 vaccine', 'side effects of covid 19 vaccine', 'india', 'usa', 'uk', 'london', 'iran', 'pfizer', 'moderna', 'allergy', 'can covid vaccine kill me', 'can covid vaccine give me covid', 'will covid vaccine kill me', 'plan', 'long term', 'cases', 'infection', 'pandemic', 'reaction', 'allergic reaction', 'dose', 'breastfeeding', 'cdc', 'oxford', 'vaccination', 'social distancing', 'covid vaccine update', 'coronavirus update', 'coronavirus']",UCOmrniWfKi-uCD6Oh6fqhgw,MEDSimplified,27,POTENTIAL SIDE EFFECTS COVID VACCINE - COVID-19 Vaccine Adverse effects &amp; Allergy,QAeJ35FGSIw,268800,2541,392,1649,0,0,0
"['covishield', 'vaccine', 'corona vaccine', 'covid vaccine', 'covaxin', 'experience', 'vaccination', 'side effects', 'Covishield Vs Covaxin', 'Health', 'india', 'government', 'LargestImmunization', 'LargestVaccineDrive']",UCTzf99EUGj8b843DRb3CJIw,GUJMOM TV,27,My Experience of COVISHIELD Vaccine | Corona Vaccine | First Dose | Hindi,s0ul6zDjOoE,110429,1455,145,425,0,0.25,0.2096
No Tags,UCFq5vPnNRNNNysLrktz4aSw,Strong Medicine,27,A Doctor Discusses COVID Vaccine Safety,fYGCI553Z0M,103894,0,0,790,0,0,0
"['coronavirus update', 'Coronavirus Pandemic Update 118', 'covid 19 vaccine', 'COVID vaccine', 'coronavirus vaccine', 'mrna vaccine', 'vaccine coronavirus', 'vaccine update', 'vaccine COVID 19', 'pfizer covid 19 vaccine', 'coronavirus vaccines', 'covid-19 vaccine', 'covid vaccine news', 'moderna vaccine', 'pfizer vaccine', 'biontech vaccine', 'biontech', 'vaccines', 'vaccine pfizer', 'AstraZeneca', 'astrazeneca vaccine', 'DNA vaccine', 'sars cov 2 vaccine', 'moderna vaccine update', 'pfizer', 'vaccine', 'coronavirus', 'covid 19']",UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,27,"Coronavirus Update 118: AstraZeneca DNA COVID 19 Vaccine Explained (vs. Pfizer / BioNTech, Moderna)",GOq8-FR8s1E,1205169,18272,960,3361,0,0,0
"['CNBC', 'business', 'news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips', 'financial news', 'Stock market news', 'stocks']",UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25,Why Pfizer And Moderna Can&#39;t Be Sued For Covid Vaccine Side Effects,nJbd402xj0Q,810820,6868,4497,8100,0,0,0
"['Closing Bell', 'CNBC', 'business news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips', 'financial news', 'stock market news', 'stocks', 'coronavirus pandemic', 'when will covid-19 end', 'first covid-19 vaccine', 'first person to get vaccine', 'is covid-19 vaccine safe', 'covid vaccine near me', 'covid vaccine approval', 'vaccine side effects', 'covid vaccine effective', 'pfizer', 'moderna', 'new strain', 'Joe biden']",UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,25,President-elect Joe Biden gets first dose of Covid-19 vaccine,VHCQ3cM02DQ,463124,4098,6371,6597,0,0.25,-0.36368
"['covid', 'corona vaccine', 'india', 'vaccination', 'vaccination process', '3 room concept', 'dry run for corona', 'dry run', 'mock drill corona vaccine', 'hindi', 'dr.maulik shah', 'how to get vaccine', 'vaccine for india', 'indian vaccine', 'covishield', 'covaxin', 'covid vaccine', 'serum institute', 'bharat biotech']",UCTzf99EUGj8b843DRb3CJIw,GUJMOM TV,27,How will you get CORONA VACCINE in India? | Process of Corona Vaccination in India | Hindi,N6CaMz00JPw,155543,2034,223,250,0,0,0
"['CNBC', 'business', 'news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'us news', 'world news', 'cable', 'cable news', 'finance news', 'money', 'money tips', 'financial news', 'Stock market news', 'stocks', 'coronavirus outbreak china cases', 'coronavirus deaths', 'coronavirus stock picks', 'coronavirus vaccines', 'coronavirus travel', 'coronavirus pandemic', 'coronavirus lockdown', 'coronavirus flights', 'coronavirus vaccine cnbc']",UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25,What Is An mRNA Coronavirus Vaccine?,FWWPJ9TaRbA,773249,6831,1546,3779,0,0,0
No Tags,UCR-pqY8-Z1X4U4gooqE3NAw,theMercyChannel,29,For Media: COVID-19 Vaccine Video at Mercy,LKlKISrMD0Y,96201,413,121,155,0,0,0
"['covid19', 'vaccination', 'vaccine', 'covishield', 'covaxin', 'covid vaccination phase 2', 'elderly vaccination', 'india vaccination', 'vaccination in india', 'aarogysetu', 'cowin app']",UCTzf99EUGj8b843DRb3CJIw,GUJMOM TV,27,Corona Vaccination 2.0 | More Easier Now | Second Phase | For Elders | Hindi,_0QUH5p-c80,18494,249,17,41,0,0.25,0.03712
