,videopinion
user1,0.00017155510202631816
user2,0.0012927730213917478
user3,0.0008647065444898665
user4,0.0008498733390725254
user5,0.0006648797878572965
user6,0.0008900299397171256
user7,0.0009013568366518331
user8,0.0007657188621225507
user9,0.0008491474314649521
user10,0.0009265525423975519
user11,0.0004967798600265742
user12,0.00016915111750871888
user13,0.001793531870607939
user14,0.0009110602306588826
user15,0.004549250825976555
user16,0.04402403645161294
user17,0.002866239192955024
user18,0.008391431402642454
user19,0.0008200760869865473
user20,0.0
user21,0.0069192062279638126
user22,0.007875894136334315
user23,0.008452987245045377
user24,0.011897571100019303
user25,0.0020110379319794383
user26,0.00575655980133211
user27,0.004174001489463891
user28,0.011989460690650428
user29,0.004291282360461515
user30,0.004022155425690468
user31,0.004041691505531566
user32,0.00238881886695984
user33,4.385977802906792e-05
user34,0.006121626936686461
user35,0.002252147948005167
user36,0.0004332926070111192
user37,0.008695981829412659
user38,0.001914334614553842
user39,0.0005424877182061001
user40,0.007742390618195986
user41,0.009646917775137253
user42,0.011912012933909607
user43,0.008101682216385103
user44,0.031491841305460684
user45,0.002362121589564527
user46,0.00978996494804346
user47,0.00493628876584959
user48,0.0014730379279887975
user49,0.005158493550913284
user50,0.005679717569986236
user51,0.00011974254331576071
user52,0.00501010123995287
user53,0.02478969045256378
user54,0.005538657316805749
user55,0.01097615058507777
user56,0.014886497780149657
user57,0.008122012158698627
user58,0.003389687294836371
user59,0.00493121334480112
user60,0.0015753745268498333
user61,0.005043446289279831
user62,0.009363089644637721
user63,0.0038734484102092744
user64,0.0
user65,0.0029627181369001722
user66,0.0004491411701412823
user67,0.0010690262034629809
user68,0.0009428872442220508
user69,0.000620723680591157
user70,0.0011208942510581386
user71,0.008446037613315773
user72,0.010476524935800575
user73,0.0025854141464154855
user74,0.003614011502580487
user75,0.0013897229315769956
user76,0.012127112285606256
user77,0.0004124557271414155
user78,0.007645922126580015
user79,0.008279892784594197
user80,0.0014959120396090938
user81,0.004106295493875702
user82,0.0017881088886813517
user83,0.0018648231925205577
user84,0.004183636372372178
user85,0.0
user86,0.002956594458454183
user87,0.004225110534894209
user88,0.002209912090781513
user89,0.00167536318601749
user90,0.001341057504677035
user91,0.002112055534493145
user92,0.002787959330885611
user93,0.0028424460613522867
user94,0.009650332044894239
user95,0.004837988326820127
user96,0.0
user97,0.004664334681179712
user98,0.0038843352143345116
user99,0.013649017101875981
user100,0.0031906108986609312
user101,0.0038406876686048006
user102,0.0007477255712992505
user103,6.578825882577887e-05
user104,5.1353246401980635e-05
user105,0.013827231303446659
user106,0.004713337479245881
user107,0.0015086454707729314
user108,0.0008989014962977751
user109,0.0014611911198523936
user110,0.001659986792307784
user111,0.0008661051689324157
user112,0.001251926975618533
user113,0.00926819972250573
user114,4.472114354451313e-05
user115,0.003451722430390105
user116,0.002084104123630356
user117,0.006771466425960076
user118,0.011674132736235491
user119,0.004612405788687709
user120,0.003141746346327631
user121,0.00651403567056907
user122,0.001904124927316957
user123,0.001621911998528962
user124,0.005049371704070884
user125,0.014804038078320515
user126,0.0009041105164905048
user127,0.002267263116895612
user128,0.0033628622868789944
user129,0.0018313597910643669
user130,0.008067098764687875
user131,0.0030828651424735444
user132,0.00504159798799245
user133,0.0001542448235204231
user134,0.006367095377423528
user135,0.001354334801359369
user136,0.010825782704744926
user137,0.0025025102305016875
user138,0.009974484584879937
user139,0.00440352163160917
user140,0.0037945066286834066
user141,0.0017793339574183303
user142,0.0023262379476706313
user143,0.01592929437906867
user144,0.007456444003040288
user145,0.0032097319766456996
user146,0.025952588499188328
user147,0.019707407658523735
user148,0.0049830984030210706
user149,0.0010396533583735918
user150,0.002887925995482193
user151,0.01487994047170491
user152,0.01361886428985238
user153,0.015052509281090884
user154,0.015882196903803283
user155,0.0074391124877282375
user156,0.0104281622461325
user157,0.003488506658642594
user158,0.006755554094271195
user159,0.0018692212956895149
user160,0.00209295323187586
user161,0.0026382371739002604
user162,0.0022602253224864276
user163,0.011134743007805528
user164,0.0005935008801382081
user165,0.002990223467535763
user166,0.0
user167,0.01689342794763627
user168,0.004031009386142996
user169,0.0021696377905779498
user170,0.0035110032044689894
user171,0.0026246602747848
user172,0.003364108522610906
user173,0.008569156995787043
user174,0.003526096800130819
user175,0.0013198476039063523
user176,0.0003086030117992986
user177,0.0070643039799643936
user178,0.0069114059112971365
user179,0.008188747383357398
user180,0.0034018745906797187
user181,0.008047706522994606
user182,0.008398076967129905
user183,0.005948153063142865
user184,0.015380487140897693
user185,0.0011096555915669647
user186,0.0022312398743344923
user187,0.0008444363241968859
user188,0.0022988885281859084
user189,0.0008879383999323424
user190,0.0013216641889198407
user191,0.0028462065006925725
user192,0.005774804673944408
user193,0.0032999896621904814
user194,0.00042274397303163096
user195,0.0022203615986946122
user196,0.011581245504072878
user197,0.003129164353852083
user198,0.011278921553970566
user199,0.0014545000056621106
user200,0.002135985008685889
user201,0.002231044441190958
user202,0.0015625
user203,0.0013559043027985408
user204,0.0033229720705261713
user205,0.005284908903807566
user206,0.0013411189817105983
user207,0.002886287569596219
user208,0.002321642636943612
user209,0.0005220912379388922
user210,0.0005220912379388922
user211,0.0009731898253689756
user212,0.001881642652834294
user213,0.007917928883537075
user214,0.004116015778437235
user215,0.0038367933510317235
user216,0.0004215475519379123
user217,3.522244956686073e-05
user218,0.0005858481748660476
user219,0.01221176985346365
user220,0.005838397324616516
user221,0.002495705283293017
user222,0.012328516702800591
user223,0.0034211876146626047
user224,0.00104077481965979
user225,0.005848081062604822
user226,0.0013945951681965522
user227,0.0007509406561561639
user228,0.0031313697695317397
user229,0.002401333998561231
user230,0.0014273412391579336
user231,0.001866158048420336
user232,0.002290235013541524
user233,0.002329638995418341
user234,0.0024097667057667955
user235,0.002506379612442392
user236,0.0004855066243168224
user237,0.0037993015327082674
user238,0.008273703257759033
user239,0.0014659772836542874
user240,0.0005776357114169462
user241,0.005126285060009688
user242,0.0065003371191250416
user243,0.008812609757166906
user244,0.0
user245,1.6649323621227976e-05
user246,0.00047587478311054613
user247,0.009280443027177725
user248,0.0030025189510540944
user249,0.0004389880299855312
user250,0.0017690093662143993
user251,0.0003153284073083081
user252,0.006227478351937667
user253,0.00015278108194568247
user254,0.0008019850964527442
user255,0.003109771896479112
user256,0.005430500597488806
user257,0.0031006464543846045
user258,0.0005043285809427502
user259,0.0027306380369102696
user260,0.0013875678761912564
user261,0.0022341044060726436
user262,0.00036026846895369674
user263,0.0008125206177590549
user264,0.0009075038910252085
user265,0.003353061614533238
user266,0.010405462881851462
user267,0.003612379576648034
user268,0.005018712268164855
user269,0.0003269972910268818
user270,0.0
user271,0.0
user272,0.0010742220165534976
user273,0.0013348443064092885
user274,0.001807093115114526
user275,0.003570152802807952
user276,0.003845774602649693
user277,0.0015025848070466241
user278,0.00030779404485028447
user279,0.0001337231632349002
user280,0.0
user281,0.0013657523682877447
user282,0.003989013680610328
user283,0.0013657523682877447
user284,0.0029956516866179827
user285,0.0020215212794673387
user286,0.0037720784506238966
user287,0.0008740815157041539
user288,0.0
user289,0.0008543003561019421
